делать,to make,[sound:делать.mp3]
я делаю,I do,
ты делаешь,you do,
он делает,he does,
она делает,she does,
оно делает,it does,
мы делаем,we do,
вы делаете,you all do,
они делают,they do,
завтракать,to have breakfast,[sound:завтракать.mp3]
Я завтракаю,I am having breakfast,
Ты завтракаешь,you are having breakfast,
Он завтракает,he is having breakfast,
Она завтракает,she is having breakfast,
Оно завтракает,it is having breakfast,
Мы завтракаем,we are having breakfast,
Вы завтракете,you all are having breakfast,
Они завтракают,they are having breakfast,
обедать,to have lunch,[sound:обедать.mp3]
я обедаю,I am having lunch,
ты обедаешь,you are having lunch,
Он обедает,he is having lunch,
Она обедает,she is having lunch,
Оно обедает,it is having lunch,
мы обедаем,we are having lunch,
вы обедаете,you all are having lunch,
они обедают,they are having lunch,
ужинать,to have dinner,[sound:ужинать.mp3]
я ужинаю,I am having dinner,
ты ужинаешь,you are having dinner,
он ужинает,he is having dinner,
она ужинает,she is having dinner,
оно ужинает,it is having dinner,
мы ужинаем,we are having dinner,
вы ужинаете,you all are having dinner,
они ужинают,they are having dinner,
понимать,to understand,[sound:понимать.mp3]
Я понимаю,I understand,
Ты понимаешь,you understand,
он понимает,he understands,
она понимает,she understands,
оио понимает,it understands,
мы понимаем,we understand,
вы понимете,you all understand,
они понимают,they understand,
работать,to understand,[sound:работать.mp3]
Я работаю,I work,
Ты раьотаешь,you work,
он работает,he works,
она работает,she works,
оно работает,it works,
мы работаем,we work,
вы работаете,you all work,
они работают,they work,
думать,to think,[sound:думать.mp3]
Я думаю,I think,
Ты думаешь,you think,
Он думает,he thinks,
Она думает,she thinks,
оно думает,it thinks,
мы думаем,we think,
вы думаете,you all think,
они думают,they think,
читать,to read,[sound:читать.mp3]
Я читаю,I read,
Ты читаешь,you read,
Он читает,he reads,
она читает,she reads,
оно читает,it reads,
мы читаем,we read,
вы читаете,you all read,
они читают,they read,
слушать,to listen,[sound:слушать.mp3]
я слушаю,I listen,
ты слушаеш,you listen,
он слушает,he listens,
она слушает,she listens,
оно слушает,it listens,
мы слушаем,we listen,
вы слушаете,you all listen,
они слушают,they listen,
знать,to know,[sound:знать.mp3]
Я знаю,I know,
Ты знаешь,you know,
он знает,he knows,
она знает,she knows,
оно знает,it knows,
мы знаем,we know,
вы знаете,you all know,
они знают,they know,
спрашивать,to ask,[sound:спрашивать.mp3]
я спрашиваю,I ask,
ты спрашиваешь,you ask,
он спрашивает,he asks,
она спрашивает,she asks,
оно спрашивает,it asks,
мы спрашиваем,we ask,
вы спрашиваете,you all ask,
они спрашивают,they ask,
отвечать,to respond,[sound:отвечать.mp3]
я отвечаю,I respond,
ты отвечаешь,you respond,
он отвечает,he responds,
она отвечает,she responds,
оно отвечает,it responds,
мы отвечаем,we respond,
вы отвечаете,you all respond,
они отвечают,they respond,
отдыхать,to rest,[sound:отдыхать.mp3]
Я отдыхаю,I rest,
ты отдыхаешь,you rest,
он отдыхает,he rests,
она отдыхает,she rests,
оно отдыхает,it rests,
мы отдыхаем,we rest,
вы отдыхаете,you all rest,
