id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
3	3	18155	18155	агити'рую	агити'рую	агити'руешь	агити'руешь	агити'рует	агити'рует	агити'руем	агити'руем	агити'руете	агити'руете	агити'руют	агити'руют
4	4	28176	28176	аккомпани'рую	аккомпани'рую	аккомпани'руешь	аккомпани'руешь	аккомпани'рует	аккомпани'рует	аккомпани'руем	аккомпани'руем	аккомпани'руете	аккомпани'руете	аккомпани'руют	аккомпани'руют
5	5	8634	8634	анализи'рую	анализи'рую	анализи'руешь	анализи'руешь	анализи'рует	анализи'рует	анализи'руем	анализи'руем	анализи'руете	анализи'руете	анализи'руют	анализи'руют
6	6	10495	10495	аплоди'рую	аплоди'рую	аплоди'руешь	аплоди'руешь	аплоди'рует	аплоди'рует	аплоди'руем	аплоди'руем	аплоди'руете	аплоди'руете	аплоди'руют	аплоди'руют
7	7	2429	2429	аресту'ю	аресту'ю	аресту'ешь	аресту'ешь	аресту'ет	аресту'ет	аресту'ем	аресту'ем	аресту'ете	аресту'ете	аресту'ют	аресту'ют
8	8	12910	12910	аресто'вываю	аресто'вываю	аресто'вываешь	аресто'вываешь	аресто'вывает	аресто'вывает	аресто'вываем	аресто'вываем	аресто'вываете	аресто'вываете	аресто'вывают	аресто'вывают
9	9	24726	24726	асфальти'рую	асфальти'рую	асфальти'руешь	асфальти'руешь	асфальти'рует	асфальти'рует	асфальти'руем	асфальти'руем	асфальти'руете	асфальти'руете	асфальти'руют	асфальти'руют
10	10	23262	23262	баю'каю	баю'каю	баю'каешь	баю'каешь	баю'кает	баю'кает	баю'каем	баю'каем	баю'каете	баю'каете	баю'кают	баю'кают
11	11	1319	1319	бе'гаю	бе'гаю	бе'гаешь	бе'гаешь	бе'гает	бе'гает	бе'гаем	бе'гаем	бе'гаете	бе'гаете	бе'гают	бе'гают
12	12	439	439	бегу'	бегу'	бежи'шь	бежи'шь	бежи'т	бежи'т	бежи'м	бежи'м	бежи'те	бежи'те	бегу'т	бегу'т
13	13	4055	4055	берегу'	берегу'	бережёшь	бережёшь	бережёт	бережёт	бережём	бережём	бережёте	бережёте	берегу'т	берегу'т
14	14	13436	13436	берегу'сь	берегу'сь	бережёшься	бережёшься	бережётся	бережётся	бережёмся	бережёмся	бережётесь	бережётесь	берегу'тся	берегу'тся
15	15	3040	3040	бесе'дую	бесе'дую	бесе'дуешь	бесе'дуешь	бесе'дует	бесе'дует	бесе'дуем	бесе'дуем	бесе'дуете	бесе'дуете	бесе'дуют	бесе'дуют
16	16	18411	18411	бешу'	бешу'	бе'сишь	бе'сишь	бе'сит	бе'сит	бе'сим	бе'сим	бе'сите	бе'сите	бе'сят	бе'сят
17	17	2460	2460	беспоко'юсь	беспоко'юсь	беспоко'ишься	беспоко'ишься	беспоко'ится	беспоко'ится	беспоко'имся	беспоко'имся	беспоко'итесь	беспоко'итесь	беспоко'ятся	беспоко'ятся
18	18	726	726	бью'	бью'	бьёшь	бьёшь	бьёт	бьёт	бьём	бьём	бьёте	бьёте	бью'т	бью'т
19	19	2512	2512	бью'сь	бью'сь	бьёшься	бьёшься	бьётся	бьётся	бьёмся	бьёмся	бьётесь	бьётесь	бью'тся	бью'тся
20	20	3113	3113	благодарю'	благодарю'	благодари'шь	благодари'шь	благодари'т	благодари'т	благодари'м	благодари'м	благодари'те	благодари'те	благодаря'т	благодаря'т
21	21	14056	14056	благословлю'	благословлю'	благослови'шь	благослови'шь	благослови'т	благослови'т	благослови'м	благослови'м	благослови'те	благослови'те	благословя'т	благословя'т
22	22	24228	24228	блюю'	блюю'	блюёшь	блюёшь	блюёт	блюёт	блюём	блюём	блюёте	блюёте	блюю'т	блюю'т
23	23	9531	9531	бледне'ю	бледне'ю	бледне'ешь	бледне'ешь	бледне'ет	бледне'ет	бледне'ем	бледне'ем	бледне'ете	бледне'ете	бледне'ют	бледне'ют
24	24	2501	2501			блести'шь,бле'щешь	блести'шь,бле'щешь	блести'т,бле'щет	блести'т,бле'щет	блести'м,бле'щем	блести'м,бле'щем	блести'те,бле'щете	блести'те,бле'щете	блестя'т,бле'щут	блестя'т,бле'щут
25	25	24514	24514	бле'ю	бле'ю	бле'ешь	бле'ешь	бле'ет	бле'ет	бле'ем	бле'ем	бле'ете	бле'ете	бле'ют	бле'ют
26	26	8655	8655	блиста'ю,блещу'	блиста'ю,блещу'	блиста'ешь,бле'щешь	блиста'ешь,бле'щешь	блиста'ет,бле'щет	блиста'ет,бле'щет	блиста'ем,бле'щем	блиста'ем,бле'щем	блиста'ете,бле'щете	блиста'ете,бле'щете	блиста'ют,бле'щут	блиста'ют,бле'щут
27	27	3028	3028	болта'ю	болта'ю	болта'ешь	болта'ешь	болта'ет	болта'ет	болта'ем	болта'ем	болта'ете	болта'ете	болта'ют	болта'ют
28	28	9028	9028	бомблю'	бомблю'	бомби'шь	бомби'шь	бомби'т	бомби'т	бомби'м	бомби'м	бомби'те	бомби'те	бомбя'т	бомбя'т
29	29	2470	2470	бормочу'	бормочу'	бормо'чешь	бормо'чешь	бормо'чет	бормо'чет	бормо'чем	бормо'чем	бормо'чете	бормо'чете	бормо'чут	бормо'чут
30	30	1753	1753	борю'сь	борю'сь	бо'решься	бо'решься	бо'рется	бо'рется	бо'ремся	бо'ремся	бо'ретесь	бо'ретесь	бо'рются	бо'рются
31	31	269	269	бою'сь	бою'сь	бои'шься	бои'шься	бои'тся	бои'тся	бои'мся	бои'мся	бои'тесь	бои'тесь	боя'тся	боя'тся
